row_number,country,city,street,house_number,address,postcode
1,Guam,South Michaelchester,Anthony Glen,4158,"9784 Flores Meadow Suite 849
South Steven, NJ 52037",02571
2,Latvia,Diazport,Rose Circle,7802,"Unit 1564 Box 8693
DPO AE 53768",74396
3,Montserrat,Adrianton,Harrell Turnpike,73534,"USS Carpenter
FPO AA 34463",35768
4,Costa Rica,Daniellefort,Davis Ports,4235,"464 Heather Knolls
Hestertown, MA 08457",98078
5,Iceland,New Stephen,Justin Locks,2164,"40322 Harrell Plains Suite 578
New Dawn, SC 39912",97639
6,New Zealand,North Adrian,Ward Overpass,709,"PSC 7301, Box 3804
APO AP 54199",88843
7,Niger,Saraburgh,Grant Alley,338,"498 Margaret Bypass Suite 931
West Debraburgh, WA 23124",55094
8,Afghanistan,South Jesus,Mason Roads,7936,"35398 Griffin Shore Apt. 406
Marcushaven, IL 84822",76189
9,Syrian Arab Republic,Port Debrashire,Megan Tunnel,9986,"8763 Watson Spurs
North Glennstad, NM 43964",20572
10,Niger,Port Michele,Robertson Unions,37070,"8814 Smith Row Suite 216
Laramouth, MN 05435",15486
11,Bermuda,Port Gerald,Gillespie Run,536,"313 Craig Trail
North Lindaport, AZ 80189",45329
12,Libyan Arab Jamahiriya,Edwardstad,Le Prairie,498,"031 Jennifer Station
Andrewtown, NV 82281",61262
13,Spain,Pattonchester,Gomez Shoal,85820,"Unit 7754 Box 1801
DPO AA 14341",09800
14,Lao People's Democratic Republic,Lake Julian,Patrick Village,0640,"77008 Zuniga Squares Apt. 991
South Troy, VI 54022",84781
15,Guyana,Hortonhaven,Miller Camp,78260,"07104 Silva Vista Apt. 649
Rodriguezhaven, AK 94960",32446
16,Czech Republic,Margaretbury,Fernandez Viaduct,599,"129 Lisa Manor
Carterfurt, MD 18790",66567
17,Namibia,Dawnview,Powell Spurs,82509,"USCGC Kennedy
FPO AE 89811",15525
18,French Guiana,Jimenezland,Rasmussen Parks,338,"277 Michelle Centers
South Stacyburgh, AR 48757",67385
19,American Samoa,New Andrewfurt,Karen Trafficway,1916,"84558 Valerie Trafficway Suite 341
Ortizmouth, WA 76334",17012
20,Austria,Port Theodoreton,Joshua Shores,05616,"3222 Hunter Squares
Victoriafort, NC 04162",39626
21,Norway,East Michelle,Meyer Square,853,"055 Roberts Crest
South Rachelshire, CO 58847",20508
22,Bangladesh,Tabithamouth,Anna Village,07438,"344 Sean Mountains
West Madelineland, TX 70793",65099
23,Kuwait,Port Jasmineville,Wright Pines,85999,"75438 Cannon Square Suite 684
Patrickmouth, SC 25390",77461
24,Iceland,Port Michael,Vasquez Villages,5985,"7982 Daniel Ridge Suite 596
Hensonmouth, IN 07320",51317
25,Venezuela,Maryton,Sarah Canyon,37913,"64770 Murray Land
Webbberg, NE 10382",39719
26,Philippines,Hurleyview,Christy Alley,45939,"80986 Carter Plaza Suite 865
Port Stephanieport, MS 67084",58795
27,Sweden,Bassfort,Jordan Fork,20226,"Unit 8239 Box 7555
DPO AA 56541",30869
28,Gambia,West Joseph,Michele Dale,913,"1723 Matthew Radial Suite 628
Port Michaelmouth, AK 36215",39764
29,Netherlands Antilles,West Mark,Watkins Mountain,3601,"736 Travis Stream Suite 407
Port Antonioville, GA 02051",04140
30,Tajikistan,Greenport,Jessica Run,62715,"6065 Arellano Village Suite 528
South Samanthaview, CA 10700",62531
31,Reunion,Hendersonstad,Laura Center,003,"015 Nelson Meadow
Palmerport, TN 44327",46878
32,Heard Island and McDonald Islands,Tiffanyfort,Moore Stream,4854,"0141 Wright Hollow Suite 228
Tapiaton, AL 01300",01349
33,Honduras,East Thomas,Jeffrey Terrace,0672,"58090 Chambers Extension
West Pamelaside, LA 32704",20379
34,Congo,Lake Pamela,Colleen Parks,0045,"46707 Robert Trafficway Suite 379
West Masonfort, AK 30712",65111
35,Madagascar,Chadberg,Cesar Ranch,9392,"887 Howard Turnpike
Lake Colleen, IL 75075",46286
36,Guam,Parkerborough,Curry Shores,092,"2123 Brittney Terrace Suite 939
Bobbystad, WY 36818",80707
37,Antigua and Barbuda,Lake Robertshire,Mary Mall,0812,"755 Cruz Ridge Suite 138
New Brittanymouth, AS 81588",25830
38,Thailand,Port Mollyfort,Laura Union,8638,"404 Thompson Cove Suite 169
Port Kimberly, TN 31235",35953
39,Mali,South Jennifer,Petersen Center,069,"72604 Christopher Ridge
East Richard, AS 41617",08731
40,Vanuatu,North Alexandramouth,Mccormick Lane,85635,"748 Emily Forest
Lake Vincent, MS 57494",66645
41,Palestinian Territory,Sarahside,Maldonado Estate,46617,"Unit 1859 Box 6297
DPO AP 22805",40033
42,Uganda,Ramirezberg,Lee Mountains,1802,"932 Jason Port
Aliciamouth, NM 97834",21978
43,Sudan,Port Aaron,Ronald Corner,47421,"5896 Taylor Curve
Susanfurt, VT 41931",12726
44,Uruguay,Stephaniefort,Wanda Well,96736,"163 Lester Port Apt. 131
Port Johnnyside, GU 25100",33615
45,Malta,Jonesview,Andrew Knolls,05289,"123 Byrd Vista
Rebeccatown, MA 50790",80558
46,New Caledonia,East Brentmouth,Lauren Shoals,7025,"Unit 0234 Box 5891
DPO AA 15238",99542
47,Tokelau,Rachelport,Thomas Brooks,0148,"60479 Thomas Dam
Reevesfurt, MH 41444",71731
48,Antarctica (the territory South of 60 deg S),West Albert,Peter Mountains,815,"2360 Sanchez Street Apt. 133
Singletonville, NM 36440",60190
49,Zambia,New Dorothychester,Schwartz Fords,564,"9321 Brett Loop
Cohenhaven, MN 86325",48253
50,Faroe Islands,Brandonbury,Hicks Run,9703,"64762 Robin Port Suite 030
Coopermouth, OH 47221",20771
51,Venezuela,South Melissaton,Salinas Rapids,201,"62133 Julia Spur Apt. 308
North Karenhaven, MP 68356",75287
52,Christmas Island,Snyderstad,William Islands,696,"40620 Jason Drive
Clarkberg, CA 16198",07572
53,Guinea,North Jessica,Martinez Fords,87050,"PSC 7021, Box 7683
APO AP 05307",40089
54,Portugal,Jacobstad,Lee Overpass,192,"Unit 4412 Box 6063
DPO AP 71826",99076
55,Liberia,Reynoldsfort,Greene Squares,97890,"5794 Megan Wall Suite 760
West Donnashire, FL 36924",29326
56,French Guiana,New Ellen,Edwards Plaza,5475,"66056 David Crescent Apt. 243
Mcculloughside, SD 73003",01754
57,Lao People's Democratic Republic,Thomasport,Michael Vista,901,"5139 Raymond Hills Suite 630
Nortonbury, VA 35233",74339
58,Madagascar,Lauraberg,Vargas Ramp,928,"PSC 5507, Box 6914
APO AA 63678",28214
59,Monaco,East Tonyfort,King Knolls,13545,"67082 Perez Wall Apt. 987
Christophertown, VA 46373",13349
60,Belgium,Jennifermouth,Julie Ramp,4797,"7329 Thomas Gateway Suite 912
Andrewhaven, IL 98331",87595
61,Russian Federation,Castilloborough,Matthew Walks,84831,"441 Frye Isle Suite 599
East Nathanside, NM 55179",73729
62,Ethiopia,New Nicole,Ramirez Manors,838,"34200 Michael Glen
East Anita, SC 38094",64543
63,Kazakhstan,Catherinetown,Poole Forks,22521,"USS Doyle
FPO AA 32698",26001
64,Mauritania,South Michaelberg,April View,905,"53585 Taylor Terrace Suite 490
North Dawn, MT 51158",39130
65,Bouvet Island (Bouvetoya),Gardnerport,Ewing Crescent,2549,"43138 Doyle Grove Suite 655
Smithfort, MH 37578",70303
66,Isle of Man,Port Erinchester,Joseph Alley,970,"3419 Joseph Underpass
South Jasonview, PW 46174",10025
67,Saint Barthelemy,Lake Amandamouth,Griffith Union,04483,"8366 Valerie Court
Carolynport, CA 73280",38312
68,Chile,Lake Michelleland,Walker Ports,5207,"85959 Flores Track
Newtontown, VT 53848",96588
69,Bouvet Island (Bouvetoya),Reidside,Stark Wells,07004,"6561 Conley Lakes Apt. 977
South Jeremy, GU 60310",32522
70,Norfolk Island,Contrerasfurt,Todd Lodge,83457,"0676 Stephen Ridge
South Thomas, FM 67665",01378
71,Saint Helena,West Kristin,Melissa Curve,2023,"PSC 4934, Box 6060
APO AE 10521",43536
72,New Caledonia,East Michaelmouth,Mcintosh Mountains,0886,"608 Samantha Harbor
Aliciamouth, WY 84256",07953
73,Jordan,New Kelseymouth,Lindsey Gateway,79718,"67942 Sarah Inlet Suite 579
Braymouth, SD 14129",58503
74,Dominican Republic,West Jennifer,Heidi Valley,8179,"11473 Ashley Mountain Apt. 603
North Christinamouth, WA 23814",51653
75,Kiribati,West Jason,Thomas Villages,5309,"5324 Leah Vista
Melissabury, UT 72408",46018
76,Slovenia,Port Jenniferfurt,David Garden,10824,"5378 Ramos Ferry Suite 960
North Eddie, GA 69309",89258
77,Brazil,Marioville,Beck Corners,28377,"61804 Sparks Inlet
Lake Williammouth, MP 73739",65436
78,Togo,Port Brandonchester,Timothy Oval,3976,"Unit 5582 Box 4130
DPO AA 92381",65861
79,Cote d'Ivoire,South Kathryntown,Love Radial,4106,"PSC 6474, Box 6883
APO AP 59730",83165
80,Luxembourg,Andersonfurt,Lawrence Camp,755,"09463 Willis Island Apt. 256
North Julieport, ID 47511",67834
81,Togo,Williamsview,Mcgee Grove,320,"78974 Monica Freeway Apt. 237
Cooperchester, SD 12302",57786
82,North Macedonia,Shawmouth,Wilson Gardens,53003,"835 Hall Place
Woodsfort, HI 95888",84563
83,Martinique,West Raymondton,Lawson Drive,6484,"09209 Thomas Plains Suite 000
Leeshire, WY 47771",79384
84,Guyana,Johnview,Sarah Haven,86966,"35948 Keller Cliffs Apt. 946
Amandaberg, SC 86284",10408
85,Grenada,East Amber,Christopher Fords,1339,"0189 Wallace Highway
Andersonview, NM 93932",25242
86,Latvia,West Patricia,Thomas Extensions,6070,"PSC 8028, Box 2257
APO AE 18487",10832
87,Jersey,Port Cheryl,Kathryn Estates,792,"334 Gilbert Field
Danielland, ND 37657",42650
88,San Marino,Stevenside,Salinas Crossing,9850,"885 Victoria Bypass
North Amanda, MN 62328",19605
89,Moldova,North Ethanmouth,Fuller Rapids,62324,"319 Amanda Ports
Lake Maryshire, UT 04024",89982
90,Holy See (Vatican City State),East Caitlinland,Cummings Extensions,5489,"078 Angela Neck Suite 414
New Timothyburgh, WA 77645",29147
91,Marshall Islands,Marthaland,Mcknight Dale,68832,"93700 Cynthia Hills
East Michael, OR 07967",16497
92,Morocco,Jasonborough,Bradley Lodge,55689,"6310 John View
Burnettland, DC 43923",78705
93,Zambia,Crystalport,Kyle Mountains,1275,"99383 Sean Oval
South Nicoleshire, MT 15723",98401
94,Norway,Colonfurt,Jones Islands,24339,"419 Christopher Pike Apt. 056
West Tiffany, NH 78710",71818
95,Reunion,West Johnbury,Harris Vista,00944,"256 Melissa Cliffs
Ortegamouth, IL 54944",14146
96,China,New Brooke,Lisa Keys,8254,"026 Bishop Islands Suite 368
Tiffanyton, WV 59191",15314
97,Saudi Arabia,Lake Tylerberg,Steven Mall,59696,"2836 Dawson Hollow
Port Jamesfort, NC 09923",79901
98,Australia,Lake Amy,Newman Inlet,2273,"88753 Vance Burgs
North Donald, MA 10729",09628
99,Senegal,North Karafort,Scott Parks,089,"94571 Katherine Track
Acostaview, FL 36242",00934
100,New Caledonia,Gardnerchester,Derek Keys,028,"7343 Kevin Pass
East Gregory, KS 11074",53877
101,Saint Pierre and Miquelon,South Williamport,Murphy Forge,41304,"242 Robertson Squares Apt. 875
Hamiltonhaven, NY 93868",62656
102,Costa Rica,North Jeffery,Jesus Hill,57390,"1496 Alvarez Unions Apt. 454
New Jacquelinemouth, ID 48053",02139
103,Brunei Darussalam,Amyborough,Walker Fall,163,"0327 Wayne Lodge
Kristinmouth, MP 18706",86110
104,Iran,Toddburgh,Joseph Radial,1262,"18603 Woods Station Apt. 797
West Taylor, UT 04665",57024
105,Libyan Arab Jamahiriya,North Lauraport,Frederick Street,6909,"687 Diaz Valleys
West Charles, MT 25928",85184
106,Bahrain,Danielshire,Allison Plaza,685,"108 Jacqueline Junction
South Meganburgh, PW 09148",74245
107,Italy,Lake Tiffanyport,Timothy Court,5545,"PSC 7766, Box 2105
APO AA 02752",88102
108,Mauritius,Port Carolyn,Anthony Avenue,1775,"2205 Hayes Island Apt. 741
Snyderbury, MN 01676",93272
109,Malaysia,New David,Anderson Mount,51687,"679 Johnson Point Suite 481
West John, NC 97964",60120
110,Myanmar,New Melissatown,Smith Station,9169,"348 Mccall Ramp Suite 070
New Kellyport, SC 16329",15665
111,Sudan,New Garystad,Tommy Union,29707,"65767 Shawn Burg Suite 024
Petersonhaven, MA 74653",70601
112,Haiti,Underwoodhaven,Gerald Trail,48616,"PSC 1992, Box 4391
APO AP 58769",53731
113,Lithuania,Castrostad,Larsen Meadow,9693,"7465 Mack Groves
North Cesar, WI 51009",26713
114,Palau,Tranfort,Terry Route,475,"528 Hammond Hill
Scottland, GA 32954",68985
115,Uruguay,New Jessica,Julie Pine,910,"6104 Patrick Garden Apt. 241
Allisonmouth, DE 18200",86562
116,Angola,New Edwinmouth,James Drive,28033,"244 Mark Dam
New Tina, WY 85778",25600
117,Armenia,North Kristaside,Lee Spurs,17057,"6258 Conrad Loaf
New Lukefort, WV 18289",73141
118,Denmark,Danielmouth,Sanchez Island,28057,"14217 Elliott Trail Apt. 211
Davidfort, AZ 39802",13045
119,Jersey,Lake Leeville,Kelly Mall,4298,"USNS Pena
FPO AE 54277",59926
120,Falkland Islands (Malvinas),West Kristifort,Myers Lights,566,"591 Ashley Turnpike Apt. 784
Jasminefort, NH 96515",43985
121,Georgia,North Jacqueline,Patricia Keys,77450,"38033 Jennifer Wells
Sarahfort, TN 38311",80657
122,Bangladesh,Morgantown,Miller Forks,896,"6728 King Centers Suite 203
Martinezhaven, MT 21342",82495
123,Trinidad and Tobago,New Kelly,Turner Prairie,88864,"USS Thompson
FPO AE 43854",39502
124,Greece,Brownberg,April Avenue,341,"873 Tina Ridges
Adamview, TN 58701",26101
125,Togo,New Sierra,Elizabeth Rest,188,"18935 Brown Roads Apt. 539
Marshallmouth, UT 60640",54100
126,Romania,Lake Patricia,Stewart Curve,030,"12551 Adam Canyon
South Thomas, ME 08217",22005
127,Northern Mariana Islands,East Hayden,Marc Keys,81446,"898 Rios Walks
Lake Kristopher, MD 82040",77955
128,Mexico,West Deborahshire,Smith Flats,500,"187 Kimberly Crossing
Kelleychester, OR 43218",04135
129,Faroe Islands,Williamston,Lynn Gardens,80120,"193 Patricia Lodge
Robertview, HI 84020",54951
130,South Africa,East Thomasbury,Cheryl Burgs,581,"505 Murphy Coves Apt. 292
Delgadoside, MP 36830",13713
131,Ireland,East Jason,Austin Drives,48754,"838 Melissa Manor
North Scottmouth, AL 29572",66753
132,Fiji,Keyburgh,Knapp Orchard,74991,"8474 Christopher Knolls Suite 134
South Joshua, MN 78364",99117
133,Wallis and Futuna,Stephenton,Walter Burg,699,"171 Daniel Forks
Elizabethtown, GU 64434",97097
134,Lesotho,Scottmouth,Harris Cove,9737,"Unit 3602 Box 3699
DPO AP 58588",87560
135,Ireland,Bellmouth,Brent Lights,46673,"166 Oneal River
Katelynton, RI 01174",83811
136,Zambia,Port Dean,Lawson Mission,481,"171 Justin Spur Suite 018
Drakemouth, WY 60375",51829
137,Congo,Amandastad,Stephanie Skyway,12539,"1868 Ian Highway Apt. 792
West Seanbury, WI 95509",38944
138,United States Virgin Islands,Smithport,Ball Mountain,4385,"07234 Steven Islands Apt. 018
Christopherfort, WA 92748",47643
139,Anguilla,Lake Jamesmouth,Mario Ranch,40682,"444 Jake Drive Apt. 214
New Angelica, OR 03222",95113
